Optimization	Count
CanonicalReplacement	12458851
FixedWithFloatingReplacement	1383318
Duplication	508643
DeoptimizeToGuardConversion	269648
GuardElimination	198137
LoopPeeling	143313
LoopCounterStampImprovement	109909
PhiImprovement	81501
EqualityPropagation	52872
LoopVectorization	34188
SequentialIfElimination	32244
NodeDeduplication	23596
InvertedLoopPhiFreeing	15155
LoopFullUnroll	13074
PreMainPostInsertion	7154
LoopReadWithPhiReplacement	7077
DeoptimizeMovement	5902
LoopInversion	5745
BinaryCanonicalization	5306
ConstantReassociation	4489
CfgSimplificationCustom	3831
OptimisticMemoryEdgeInsertion	3021
IndexedLoadElimination	2957
BoxNodeBoxUsageReplacement	2851
NodeNarrowing	2014
PiImprovement	1264
UnsignedDivOptimized	634
LockCoarsening	401
NestedLockElimination	323
IndexedStoreElimination	136
LoopRotation	129
CircularPhiBreakerInsertion	84
ExitEnterElimination	53
ExitControlSplitEnterElimination	27
InfeasibleBranchElimination	11
